Obs,RegOut1,ClassLabel,RegOut2,TimeTouchBps,Input1,Input2,Input3,Input4,Input5
139,65.2558,FALSE,103.51,0.262,0.177419355,0.13157,0,0,3.07
140,23.9605,FALSE,2626.41,0.7039,0.796350467,0,62.64,141.898,57.17
141,165.8674,TRUE,697.55,1.1088,0.271325797,0,29.42,75.7302,0.83
142,161.9928,TRUE,129.01,7.3451,0.476190476,0,0,0,0
143,153.2574,TRUE,113.79,3.3396,0.558823529,0,0,0,4.33
144,52.5029,FALSE,723.24,1.2509,0.819796954,0.42016,67.13,161.4416,0.95
145,65.8973,FALSE,1001.97,1.4768,0.84620098,0,106.26,253.3797,17.99
146,103.6829,FALSE,434.29,2.955,0.823880597,0,15.61,40.1773,8.62
147,65.7458,FALSE,192.44,0.9521,0.794520548,0,0,0,1.83
148,342.3631,TRUE,33.19,3.5417,1,0,0,0,0
149,105.4853,FALSE,516.66,4.6436,0.820069204,0.76388,39.45,105.9234,34.27
150,78.609,FALSE,542.08,1.5946,0.724186704,0,135.53,336.3107,1.17
151,87.2166,FALSE,119.51,1.009,0.725388601,0.81538,0,0,1.45
152,132.4775,FALSE,232.23,2.0017,0.896226415,0.34615,0,0,0
153,105.3271,FALSE,240.38,1.1375,0.75862069,0.18181,12.61,32.4625,11.98
154,120.9192,FALSE,309.57,1.7561,0.742424242,0,0,0,10.59
155,109.0158,FALSE,718.05,0.9897,0.527522936,0,0,0,53.23
156,81.397,FALSE,647.4,1.3592,0.836956522,0.31125,24.12,62.07,22.88
157,24.5427,FALSE,3139.88,0.6191,0.190017016,0.70616,112.66,255.1906,201.52
158,56.4538,FALSE,459.74,1.6684,0.764705882,0,0,0,0
159,112.6853,FALSE,64.84,1.3951,0.75,0,6.98,23.4823,0
160,80.153,FALSE,228.96,1.0395,0.75,0,22.97,59.1239,1.94
161,366.1705,TRUE,95.59,7.7405,0.777777778,0,0,0,11.16
162,45.945,FALSE,954.59,1.4898,0.870061457,0,26.66,60.4029,52.27
163,52.0387,FALSE,990.1,1.5,0.090247453,0,57.2,129.5741,22.54
164,78.0352,FALSE,67.6,0.5857,0.583333333,1,8.26,21.2748,4.61
