STATION,NAME,STATE,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-12-19,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-01,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-02,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-03,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-04,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-05,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-06,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-07,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-08,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-09,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-10,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-11,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-12,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-13,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-14,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-15,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-16,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-17,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-18,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-19,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-20,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-21,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-22,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-23,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-24,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-25,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-26,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-27,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-28,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-29,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-30,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-01-31,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-01,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-02,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-03,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-04,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-05,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-06,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-07,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-08,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-09,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-10,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-11,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-12,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-13,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-14,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-15,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-16,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-17,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-19,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-20,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-21,,,,,,
US1NYNS0007,"FLORAL PARK 0.4 W, NY US",New York,40.7229996,-73.7109985,24.1,2010-02-22,,,,,,
