DATE,USERS
12/10/2017,34359
12/11/2017,100068
12/12/2017,114097
12/13/2017,132408
12/14/2017,130665
12/15/2017,129497
12/16/2017,98969
12/17/2017,64119
12/18/2017,134785
12/19/2017,140503
12/20/2017,131193
12/21/2017,128963
12/22/2017,120757
12/23/2017,91490
12/24/2017,52376
12/25/2017,67314
12/26/2017,106511
12/27/2017,130496
12/28/2017,134023
12/29/2017,131154
12/30/2017,100741
12/31/2017,63048
01/01/2018,91537
01/02/2018,152618
01/03/2018,166033
01/04/2018,171716
01/05/2018,168180
01/06/2018,125126
01/07/2018,82862
01/08/2018,153041
01/09/2018,161692
01/10/2018,155762
01/11/2018,150793
01/12/2018,168734
01/13/2018,119818
01/14/2018,70279
01/15/2018,130679
01/16/2018,153184
01/17/2018,166041
01/18/2018,165953
01/19/2018,152485
01/20/2018,112275
01/21/2018,72037
01/22/2018,154242
01/23/2018,166521
01/24/2018,159308
01/25/2018,160594
01/26/2018,164336
01/27/2018,123688
01/28/2018,76928
01/29/2018,151270
01/30/2018,157422
01/31/2018,155187
02/01/2018,155545
02/02/2018,151300
02/03/2018,108858
02/04/2018,63694
02/05/2018,159571
02/06/2018,175314
02/07/2018,158696
02/08/2018,151329
02/09/2018,147364
02/10/2018,110925
02/11/2018,69399
02/12/2018,145455
02/13/2018,150214
02/14/2018,144409
02/15/2018,154311
02/16/2018,151251
02/17/2018,111044
02/18/2018,66749
02/19/2018,110165
02/20/2018,135293
02/21/2018,139402
02/22/2018,139080
02/23/2018,143124
02/24/2018,112280
02/25/2018,69252
02/26/2018,145863
02/27/2018,152391
02/28/2018,140171
03/01/2018,140401
03/02/2018,126335
03/03/2018,101678
03/04/2018,65940
03/05/2018,135442
03/06/2018,145162
03/07/2018,137596
03/08/2018,138544
03/09/2018,144941
03/10/2018,114432
03/11/2018,65683
03/12/2018,139848
03/13/2018,139805
03/14/2018,135683
03/15/2018,136147
03/16/2018,136954
03/17/2018,103795
03/18/2018,62742
03/19/2018,135204
03/20/2018,133949
03/21/2018,131781
03/22/2018,132554
03/23/2018,113055
03/24/2018,82719
03/25/2018,59744
03/26/2018,137976
03/27/2018,145240
03/28/2018,129260
03/29/2018,127305
03/30/2018,126841
03/31/2018,93759
04/01/2018,59594
04/02/2018,133227
04/03/2018,145472
04/04/2018,139685
04/05/2018,127899
04/06/2018,138562
04/07/2018,103251
04/08/2018,65526
04/09/2018,139206
04/10/2018,139027
04/11/2018,142629
04/12/2018,138387
04/13/2018,139368
04/14/2018,101578
04/15/2018,67960
04/16/2018,140097
04/17/2018,143788
04/18/2018,138029
04/19/2018,126794
04/20/2018,129761
04/21/2018,93818
04/22/2018,62687
04/23/2018,131157
04/24/2018,132435
04/25/2018,118793
04/26/2018,129171
04/27/2018,124752
04/28/2018,91196
04/29/2018,59372
04/30/2018,128835
05/01/2018,134387
05/02/2018,131390
05/03/2018,126081
05/04/2018,126774
05/05/2018,97116
05/06/2018,62651
05/07/2018,130596
05/08/2018,134186
05/09/2018,133737
05/10/2018,137757
05/11/2018,136338
05/12/2018,100681
05/13/2018,61958
05/14/2018,134189
05/15/2018,139354
05/16/2018,123778
05/17/2018,125911
05/18/2018,121148
05/19/2018,88071
05/20/2018,58948
05/21/2018,126720
05/22/2018,142539
05/23/2018,126472
05/24/2018,125539
